COMPANY;MES;ANO;DATA_PARCELA_1;PARCELA1;DATA_PARCELA_2;PARCELA_2;DATA_PARCELA_3;PARCELA_3
1fe80c8dfe8051d2cbba66946d8d3f38fc70b6c7ac44211363f67f96ee983112;9;2022;15/10/22;0;25/10/22;11222,445;05/11/22;0
bef150d5cfef95596f7243d9f1c66a205bf5eeca511461a76b83a2c242069235;9;2022;15/10/22;0;25/10/22;110207,325;05/11/22;0
dda28030d2742c7f1c012ef02d149a8a89763a9811a8404b648bd02a23737ccd;9;2022;15/10/22;0;25/10/22;1992,21;05/11/22;0
d446baaa624ef831ac08a15737b46cbf343e06d7c8c18d93773eecf427b8fb2d;9;2022;15/10/22;0;25/10/22;36918,015;05/11/22;0
7e0e496542d3d1478dbaad4d68d0d2b893fdaa543a46ceaa2f2ad7d90ab2bf4c;9;2022;15/10/22;5530,5225;25/10/22;5530,5225;05/11/22;5530,515
7afa0f8b13d416bad28fbf008ef89ceef78bb68bd19bca7814c400c0d3698848;9;2022;15/10/22;0;25/10/22;315761,4825;05/11/22;0
a88f77fbb1b9bc0c9f4c8a2d650e240c818fba02c7cf37151af6b594c7b519a3;9;2022;15/10/22;0;25/10/22;31469,82;05/11/22;0
6804ebaffa50ed076556c65f8b1a3184ff16eca1588f6b2428c9242f1f13252a;7;2022;15/08/22;0;25/08/22;142884,15;05/09/22;0
43261d5727c06339359c5f0aace80318821cac1141a039987b63b6a1a64bdd36;7;2022;15/08/22;143334,9825;25/08/22;143334,9825;05/09/22;143334,975
43df7b0fa6398254398f33e6a90df697687ade401dbd8329d879f07469268a98;7;2022;15/08/22;0;25/08/22;17335,125;05/09/22;0
37956109bf722b8417155c01783625e441550c09e0fc1d91dd6bf983453ace35;7;2022;15/08/22;0;25/08/22;193923,675;05/09/22;0
8ee9dce4510479f9e153df273e778e86ee30b54a2fcd4e5f9473ecfc4bed2dd2;7;2022;15/08/22;0;25/08/22;274402,5675;05/09/22;0
261e7698ac0ed1bcc42b495c14348db83fdb698e924d16dc92273910479fb282;7;2022;15/08/22;0;25/08/22;244496,1525;05/09/22;0
35ce1a065051168e36824c114aa1fc63f643e3fcd9c90ca14cc52ab9a9b527be;7;2022;15/08/22;0;25/08/22;3806,535;05/09/22;0
b470b5aee95229627587e41113f76eac907c0d9c982027468eeff519880af337;7;2022;15/08/22;0;25/08/22;7745,6175;05/09/22;0
6f3dbd28708af1ddbfbe650c741aed5b9924a26a492ae1f7a515ff0490f49bf8;7;2022;15/08/22;0;25/08/22;59449,0425;05/09/22;0
5df97ac7ee51d36d3e66f389976e3b1da0118406d43dca53880b47986b356162;7;2022;15/08/22;0;25/08/22;28580,7675;05/09/22;0
2882df514d7d0d4676a9f35d4123716340417a68ddb88c5f3b8ef3a9600b1918;7;2022;15/08/22;0;25/08/22;163349,4;05/09/22;0
955ea904d2c0dce593d3b5bff11ff99fc9dd25d69aee1b234c31acb060c7a299;7;2022;15/08/22;0;25/08/22;10243,17;05/09/22;0
a200243480bba58b5829832c266f8d9657994468d5a9bf4513a43789b4cd3422;7;2022;15/08/22;247183,395;25/08/22;247183,395;05/09/22;247183,395
5945b2b53291bc3261dd86b14aa9b3562d72b087fd5c9d1ad8ec48b75f86481d;7;2022;15/08/22;0;25/08/22;999479,16;05/09/22;0
68029c24fe42facb13764924eb9eb2788d997ff1c916640d65f94f4536aa2ea4;7;2022;15/08/22;0;25/08/22;51639,9;05/09/22;0
654e16633394f9d98a60151a6221cb49282d5b178a338c816bcf7ce3ed2e645d;7;2022;15/08/22;0;25/08/22;49567,1175;05/09/22;0
35b76ed72c17895dde8d51b1b7fd502c907d6b5c20f1d81057533a90f165ac43;7;2022;15/08/22;0;25/08/22;1286,7675;05/09/22;0
4968c3e79bc52f5078d32673035d7e34f7af7cc21aaf7c85fe3ad649608b659a;7;2022;15/08/22;0;25/08/22;14508,6375;05/09/22;0
a98133f5318f13c43c799ed82a6f90db3ec58ae04957165399eb61d2394c6462;7;2022;15/08/22;0;25/08/22;76834,8975;05/09/22;0
bea410d04f41874bdd9a20431b1ac7f0596f1521ea27ae828f75fe13d157b417;7;2022;15/08/22;0;25/08/22;114630,15;05/09/22;0
955ea904d2c0dce593d3b5bff11ff99fc9dd25d69aee1b234c31acb060c7a299;7;2022;15/08/22;0;25/08/22;25140,8025;05/09/22;0
bac2ea73eff76151887853ea0513bcceba99078c5efc7e96d31ae9a3880dd2ed;7;2022;15/08/22;0;25/08/22;747,09;05/09/22;0
ea71d6b861cca8d73dc2447cf91efd30c23b5432e2f8c60ad45514648b938e4d;7;2022;15/08/22;0;25/08/22;142666,515;05/09/22;0
26c85045b526b0e9ad8ec4bfd94d4f0114a5db0f8a25aaa68390e67b93b5be4e;7;2022;15/08/22;0;25/08/22;14220,8475;05/09/22;0
ef808b6ad3c2e31fdf3da46626f836bb043edc47fa8ee44b9787af75103a1638;7;2022;15/08/22;0;25/08/22;758766,6225;05/09/22;0
c738b8801ff6ef293c2e53f07c90d9b5e856c928b90fa42cbd92daed72471946;8;2022;15/09/22;0;25/09/22;226072,665;05/10/22;0
3a80a0add00aa05156487dc5bceb0f1647bb80425a4f03bf77193f110a98766f;8;2022;15/09/22;0;25/09/22;26695,8525;05/10/22;0
a7bde2da1d51644fbc982d6f668b7fdd9f316f2b2ac3492a9a0c2e93d73b147f;8;2022;15/09/22;0;25/09/22;147098,7525;05/10/22;0
94929d1a84462e2ce3c8bf239134562a08f799cb1d54f1d9b22b6f08df98eeb7;8;2022;15/09/22;0;25/09/22;29004,3075;05/10/22;0
955ea904d2c0dce593d3b5bff11ff99fc9dd25d69aee1b234c31acb060c7a299;8;2022;15/09/22;0;25/09/22;9825,1125;05/10/22;0
86bb5ba0b4dcb6cdb3fa4735d0768c6876cdb5750fda5fefbdccf9ed9e91119f;8;2022;15/09/22;0;25/09/22;7309,335;05/10/22;0
94929d1a84462e2ce3c8bf239134562a08f799cb1d54f1d9b22b6f08df98eeb7;8;2022;15/09/22;0;25/09/22;8261,505;05/10/22;0
7b7ac860e214a4635068ef1295f6527abf15adbd9e1dcfd607e3b2c5b9d10d09;8;2022;15/09/22;0;25/09/22;33570,3975;05/10/22;0
9f92166005c86077f9cb6c11e7027631f5b2fd35235724a19346554a19298155;8;2022;15/09/22;40374,72;25/09/22;40374,72;05/10/22;40374,7125
edd1089cd0dfdc89dc520b3f2699b03392a0e8ce06e99ef2988c7dbe81436f6e;8;2022;15/09/22;23658,6825;25/09/22;23658,6825;05/10/22;23658,6825
fd381d894fc086bfddb39831b03e5d7429c271b67da827edfa28a3fdd94f2ae9;8;2022;15/09/22;12917,9925;25/09/22;12917,9925;05/10/22;12917,985
955ea904d2c0dce593d3b5bff11ff99fc9dd25d69aee1b234c31acb060c7a299;8;2022;15/09/22;0;25/09/22;11253,1275;05/10/22;0
548b175e8ebd96bf0a70e9da6c429307110a8a3499feac30ad15385094a443d1;8;2022;15/09/22;0;25/09/22;4859,6625;05/10/22;0
2e2eda81b59ddb85ac6689cc7b89415a09201455f1f62afe55fb494b58882232;8;2022;15/09/22;82216,9725;25/09/22;82216,9725;05/10/22;82216,98
bac2ea73eff76151887853ea0513bcceba99078c5efc7e96d31ae9a3880dd2ed;8;2022;15/09/22;0;25/09/22;6497,9325;05/10/22;0
9982344b22000dcfc97cdc33c3c0039d286be0a47ffbbac10a49778b73a0d071;8;2022;15/09/22;0;25/09/22;56339,085;05/10/22;0
c872bd2dc895b7c6805acc5ecc0abdb62e574f4dd56f397b6096f8efc0699db6;4;2021;15/05/21;0;25/05/21;35495,5725;05/06/21;0
0ab6396c04f71b461d43bb48b3a7cacffcc09252aacb1bd519cd1f2ba5ba6cbe;4;2021;15/05/21;0;25/05/21;0;05/06/21;0
eb894c055c058829739241ff1ad141bd9f60c3789c55881fbb6bdf031fbdf3ad;4;2021;15/05/21;0;25/05/21;17637,36;05/06/21;0
82506e17462cb23051987529a7a3a412bba138e63bd31c0634dc047114da8e8b;4;2021;15/05/21;0;25/05/21;12986,955;05/06/21;0
94929d1a84462e2ce3c8bf239134562a08f799cb1d54f1d9b22b6f08df98eeb7;4;2021;15/05/21;0;25/05/21;156307,71;05/06/21;0
bac2ea73eff76151887853ea0513bcceba99078c5efc7e96d31ae9a3880dd2ed;4;2021;15/05/21;0;25/05/21;0;05/06/21;0
94929d1a84462e2ce3c8bf239134562a08f799cb1d54f1d9b22b6f08df98eeb7;4;2021;15/05/21;0;25/05/21;341059,4475;05/06/21;0
bac2ea73eff76151887853ea0513bcceba99078c5efc7e96d31ae9a3880dd2ed;4;2021;15/05/21;0;25/05/21;0;05/06/21;0
2cad427f444c0a78b7528ce4b19d2785717093455a5f7c06a3bb25335a05133a;4;2021;15/05/21;0;25/05/21;0;05/06/21;0
3a80a0add00aa05156487dc5bceb0f1647bb80425a4f03bf77193f110a98766f;4;2021;15/05/21;0;25/05/21;18711,36;05/06/21;0
bac2ea73eff76151887853ea0513bcceba99078c5efc7e96d31ae9a3880dd2ed;4;2021;15/05/21;0;25/05/21;4013310,3075;05/06/21;0
6fee5b3f64ac1ac4e6e189ad578067437335a10f43c692754dcd752bda273cb2;4;2021;15/05/21;11278,3275;25/05/21;11278,3275;05/06/21;11278,32
568494e204be7c505a1e6d18fc2bd5d498a9ad89ba439cdafda3b3ed391def31;4;2021;15/05/21;16108,305;25/05/21;16108,305;05/06/21;16108,3125
5a00f68837f506cea0835772f7dfbd6bcd7de607b6fb580bb4932cc2aa37f793;4;2021;15/05/21;114047,7075;25/05/21;114047,7075;05/06/21;114047,7075
cd132417c152f85602ab871148411f353a2cb4a4b38ad159a999a55bec4ddc3b;4;2021;15/05/21;0;25/05/21;354843,6375;05/06/21;0
df87b5390dd86fda1736d40e849af12da1ecee378d5dc6285d5bb249664ba18d;4;2021;15/05/21;21134,67;25/05/21;21134,67;05/06/21;21134,67
d0ac63607a1b3610d3b176cc0fcc83bbcf81c5cec38245c6ba78997c66b6754d;4;2021;15/05/21;0;25/05/21;92475,315;05/06/21;0
2dd7bca402c55d23997f8b33f2cf08be6172cbcc8a39a7cb480a006093edcb2a;4;2021;15/05/21;0;25/05/21;89161,0125;05/06/21;0
94929d1a84462e2ce3c8bf239134562a08f799cb1d54f1d9b22b6f08df98eeb7;4;2021;15/05/21;0;25/05/21;15082,23;05/06/21;0
0ab6396c04f71b461d43bb48b3a7cacffcc09252aacb1bd519cd1f2ba5ba6cbe;4;2021;15/05/21;0;25/05/21;0;05/06/21;0
b7e0915805d9cfda3287eec418086c58877c5b28f9b5bc297a2766755bdb26ca;4;2021;15/05/21;0;25/05/21;1108515,405;05/06/21;0
96ac7bc795e72bff08df0567863a10121b559563131930d74d2f86bd7c125751;4;2021;15/05/21;0;25/05/21;6299,625;05/06/21;0
6e63340d51a92f6f6688f3ffec18a3df14f0976232b975ece415669674b2baaa;4;2021;15/05/21;6860,4675;25/05/21;6860,4675;05/06/21;6860,46
6e54ba0504e870c69594c2889f3f76c6f81520fed24c433ca862455ececa4750;4;2021;15/05/21;0;25/05/21;12068,0175;05/06/21;0
4009febb800765b661fef7eee44e0f755062da1b7551bcec91eb4a422517945f;4;2021;15/05/21;0;25/05/21;5287,1775;05/06/21;0
